% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.56    0.001829         182        10           clone3
 28.12    0.001801          85        21           rt_sigprocmask
 12.49    0.000800          44        18           mmap
 12.46    0.000798          61        13           mprotect
  9.56    0.000612          87         7           munmap
  6.04    0.000387         129         3           write
  1.51    0.000097          32         3           brk
  1.25    0.000080          80         1           rt_sigaction
  0.00    0.000000           0         1           read
  0.00    0.000000           0         2           close
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           openat
  0.00    0.000000           0         3           newfstatat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.006404          66        97         2 total
